word,LoLQuickThoughtsAmount
game,251
player,232
champion,218
change,137
item,135
team,133
time,113
new,107
damage,90
play,90
champ,81
system,74
thing,73
work,68
gameplay,68
high,64
level,60
goal,59
preseason,59
many,58
power,58
point,56
patch,54
league,53
good,53
think,53
early,53
balance,49
position,47
different,47
etc,47
jungle,46
though,46
look,45
playing,45
skin,45
lane,43
rift,42
counterplay,42
next,42
back,41
week,41
really,41
need,40
choice,40
use,39
event,39
skill,37
help,37
design,37
lucian,37
looking,36
current,36
lead,36
hit,35
far,35
update,34
part,34
feel,34
ability,34
year,34
rune,34
tft,34
take,33
bit,33
class,33
mechanic,33
without,33
experience,32
last,32
example,32
right,32
better,32
theme,32
every,31
pro,31
win,31
case,31
feedback,31
strong,31
mobility,31
option,31
future,31
range,31
burst,30
mythic,30
ranked,30
fighter,30
overall,29
reward,29
term,29
summoner,29
got,28
low,28
long,28
le,28
two,28
making,28
mode,28
start,28
working,28
amount,27
often,27
always,27
go,27
clear,27
improvement,27
enemy,27
mean,27
w,27
spell,27
rate,27
opportunity,26
clash,26
rather,26
coming,26
something,26
number,26
pick,26
small,26
bot,26
state,25
support,25
give,25
result,25
mmr,25
live,24
powerful,24
assassin,24
tool,24
data,24
test,23
line,23
effect,23
tank,23
role,23
seeing,23
doesnt,23
top,23
project,23
mission,23
average,23
played,23
per,22
impact,22
eg,22
issue,22
direction,22
specific,22
pretty,22
might,22
designer,22
content,22
aram,22
queue,22
ally,22
behavior,22
sure,21
buff,21
exciting,21
lower,21
idea,21
weakness,21
day,21
instead,21
pbe,21
comeback,21
whether,21
season,21
adding,21
keep,21
thought,21
second,21
people,21
sometime,21
increase,20
continue,20
end,20
bounty,20
irelia,20
needed,20
feature,20
mid,20
higher,19
kill,19
combat,19
taking,19
riot,19
try,19
winning,19
toward,19
didnt,19
using,19
strategy,19
cooldown,19
miss,19
currently,18
create,18
minute,18
particular,18
kit,18
fight,18
isnt,18
core,18
come,18
talk,18
risk,18
challenge,18
release,18
approach,18
weak,18
strategic,18
enough,18
getting,18
happy,18
improve,18
post,18
focus,18
avoid,18
complexity,18
let,17
follow,17
best,17
removing,17
longer,17
past,17
close,17
process,17
done,17
token,17
know,17
hope,17
shop,17
potential,17
detail,17
lol,17
type,17
health,16
actually,16
quickly,16
launch,16
analysis,16
understand,16
possible,16
im,16
important,16
unique,16
stack,16
solo,16
significantly,16
tuning,16
made,16
plan,16
world,16
slightly,16
snowball,16
sona,16
mana,15
become,15
excited,15
doe,15
icon,15
objective,15
never,15
little,15
strike,15
problem,15
find,15
place,15
target,15
match,15
require,15
speed,15
r,15
passive,15
rammus,15
galaxy,15
other,15
durability,14
base,14
increased,14
include,14
expect,14
meta,14
combo,14
across,14
quick,14
scaling,14
everyone,14
ship,14
love,14
thank,14
opponent,14
theyre,14
generally,14
great,14
region,14
big,14
nerf,14
split,14
build,14
medium,14
detection,14
penalty,14
fun,13
trying,13
satisfying,13
youre,13
key,13
especially,13
extra,13
viable,13
job,13
specifically,13
losing,13
progress,13
share,13
however,13
based,13
outcome,13
ultimate,13
diversity,13
intended,13
add,13
value,13
month,13
pattern,13
stat,13
pas,13
pushing,13
satisfaction,13
a,13
giving,12
arent,12
legend,12
variety,12
mind,12
usually,12
likely,12
addition,12
strength,12
testing,12
rank,12
chance,12
space,12
version,12
grant,12
large,12
push,12
death,12
added,12
already,12
available,12
influence,12
put,12
seen,12
mechanical,12
appeal,12
amumu,12
gain,12
ap,12
matchmaking,12
bring,12
jungler,12
balanced,12
ll,12
what,12
believe,11
quite,11
overly,11
hard,11
able,11
full,11
gold,11
move,11
gat,11
least,11
main,11
development,11
provide,11
cover,11
worth,11
finally,11
offer,11
allow,11
deal,11
probably,11
movement,11
access,11
wont,11
landed,11
enchanter,11
area,11
recent,11
systemic,11
shift,11
