word,LoLSlashDevAmount
champion,536
game,474
player,415
new,254
team,223
time,222
league,218
play,188
riot,163
item,158
change,148
really,147
system,144
champ,134
thing,132
year,128
queue,126
feel,125
balance,119
update,118
udyr,116
eternal,115
look,109
patch,107
goal,100
next,97
good,97
every,97
work,96
ranked,94
different,93
back,91
made,90
something,90
two,89
vfx,87
skin,87
position,86
spell,85
mode,85
power,84
go,84
making,83
take,83
gameplay,83
last,81
experience,81
world,81
know,80
example,80
many,79
level,78
let,76
launch,76
early,74
client,74
better,73
think,72
unique,72
always,70
youre,69
say,68
tft,68
end,67
win,67
right,66
start,66
give,66
mean,65
need,63
rate,63
pretty,62
match,62
select,61
matchmaking,61
feedback,60
design,60
didnt,60
le,59
part,59
find,59
ability,58
tier,58
best,58
keep,58
stance,58
big,57
idea,56
visual,56
effect,56
people,56
create,56
approach,55
run,55
week,55
damage,54
bit,54
looking,54
element,53
legend,53
needed,52
add,52
come,52
top,52
playing,51
might,50
help,50
started,49
working,49
expect,49
use,48
got,48
sure,48
long,48
trait,48
current,47
hard,47
doesnt,47
little,47
everyone,47
competitive,47
enemy,47
great,46
improvement,46
continue,46
without,45
small,45
try,45
mmr,45
story,45
felt,44
actually,44
day,44
youll,44
high,44
everything,44
version,43
exciting,43
getting,43
second,43
build,43
hit,43
framework,43
group,43
fun,42
post,42
region,42
important,42
enough,42
reward,42
number,42
season,41
using,41
though,41
animation,41
main,41
future,41
moment,41
clash,41
across,41
galaxy,41
improve,40
possible,40
forward,40
based,40
series,40
strong,39
feature,39
far,39
data,39
today,39
rift,39
spirit,39
board,39
volibear,39
pro,39
pick,38
issue,38
option,38
already,38
place,38
clear,38
share,38
skill,38
character,37
artist,37
show,37
target,37
sett,37
fight,36
line,36
model,36
development,36
isnt,36
lead,36
excited,36
move,36
counter,36
three,35
teamfight,35
doe,35
within,35
full,35
fiddlestick,35
single,34
able,34
im,34
overall,34
primary,34
vgu,34
behavior,34
support,34
rank,34
autofill,34
decided,34
dev,34
nexus,34
become,33
cant,33
impact,33
report,33
put,33
star,33
major,33
attack,33
meta,33
wasnt,33
blitz,33
gold,33
theyre,32
powerful,32
wed,32
never,32
human,32
bring,32
event,32
final,32
played,32
ingame,31
saw,31
case,31
four,31
instead,31
used,31
higher,31
quite,30
together,30
least,30
arent,30
talk,30
bug,30
type,30
state,30
direction,30
rise,30
similar,29
opportunity,29
coming,29
focus,29
said,29
base,29
added,29
often,29
blog,29
specific,29
hope,29
process,29
progress,29
average,29
probably,29
area,29
creating,29
core,29
theme,29
explain,29
kit,29
went,29
bot,29
month,29
scripting,29
summoner,29
other,29
point,28
meant,28
problem,28
toward,28
note,28
art,28
designer,28
bad,28
provide,28
challenge,28
quickly,28
buff,28
nilah,28
what,28
roster,27
quality,27
especially,27
almost,27
seen,27
clarity,27
hand,27
result,27
balancing,27
diversity,27
thought,26
love,26
finally,26
progression,26
plan,26
gain,26
running,26
strategy,26
stat,26
sometime,26
space,25
ensure,25
mind,25
reason,25
choice,25
cast,25
sense,25
entire,25
live,25
learned,25
addition,25
memory,25
account,25
anticheat,25
release,25
performance,25
comp,25
annie,25
giving,24
currently,24
step,24
fix,24
away,24
style,24
mastery,24
test,24
include,24
stuff,24
concept,24
amount,24
viable,24
wittrock,24
origin,24
preseason,23
wont,23
given,23
later,23
past,23
question,23
mechanic,23
found,23
life,23
silhouette,23
multiple,23
super,23
combat,23
thank,23
presence,23
cheater,23
fighter,22
ever,22
done,22
youve,22
perfect,22
worked,22
consistent,22
allow,22
opponent,22
demon,22
ban,22
laugh,22
health,21
rather,21
huge,21
adding,21
push,21
werent,21
kind,21
adjustment,21
read,21
code,21
throughout,21
satisfying,21
form,21
flex,21
premade,21
solo,21
ended,21
key,21
longer,21
dragon,21
lane,21
real,21
tournament,21
map,21
track,21
developer,21
prototype,21
basically,20
moving,20
wait,20
rp,20
someone,20
behind,20
learning,20
tactic,20
changed,20
fighting,20
milestone,20
beyond,20
audience,20
random,20
tried,19
anything,19
shop,19
sound,19
detail,19
chance,19
address,19
couple,19
standard,19
feeling,19
initial,19
bear,19
piece,19
course,19
drop,19
minute,19
nerf,19
cc,19
mid,19
storm,19
hex,19
carousel,19
thinking,18
order,18
bunch,18
longterm,18
faster,18
figure,18
thematic,18
trying,18
lower,18
whole,18
else,18
color,18
directly,18
recall,18
action,18
shape,18
beginning,18
exploring,18
normal,18
variety,18
cool,18
recent,18
couldnt,18
animal,18
took,18
youd,18
left,18
speed,18
voice,18
slightly,18
created,18
check,18
elite,18
experiment,18
cheat,18
wrekz,18
she,18
common,17
came,17
break,17
project,17
free,17
testing,17
worth,17
increase,17
hold,17
stop,17
late,17
side,17
significant,17
completely,17
body,17
looked,17
deep,17
immediately,17
led,17
fewer,17
rest,17
v,17
however,17
placement,17
carry,17
kill,17
anime,17
guardian,17
decision,17
lp,17
fiddle,17
exploration,16
large,16
consider,16
whether,16
keeping,16
upgrade,16
ship,16
secondary,16
easy,16
likely,16
favorite,16
simple,16
sharing,16
video,16
offer,16
global,16
exactly,16
including,16
identify,16
hopefully,16
close,16
role,16
per,16
due,16
melee,16
knew,16
arm,16
fit,16
updated,16
happen,16
runeterra,16
originally,16
machine,16
screen,16
balanced,16
compared,16
ton,16
spatula,16
considered,15
death,15
outlier,15
personal,15
special,15
focused,15
believe,15
larger,15
remember,15
healthy,15
available,15
hey,15
narrative,15
certain,15
ultimate,15
crash,15
fact,15
unlock,15
app,15
earlier,15
delay,15
ran,15
wouldnt,15
smaller,15
complete,15
professional,15
hitting,15
starting,15
server,15
content,15
maplenectar,15
maybe,14
happy,14
tool,14
eye,14
texture,14
matter,14
size,14
tell,14
effort,14
pbe,14
response,14
channel,14
turn,14
generally,14
term,14
difficult,14
quick,14
closer,14
freljord,14
became,14
fantasy,14
required,14
connection,14
true,14
passive,14
bonus,14
lightning,14
learn,14
launched,14
percentile,14
extremely,14
seem,14
seeing,14
understand,14
fire,14
call,14
shift,14
cost,14
highest,14
underpowered,14
op,14
stage,14
earn,14
universe,14
twisted,14
bootstrap,14
disable,14
forge,14
existing,13
old,13
master,13
open,13
rule,13
updating,13
bigger,13
eventually,13
medium,13
along,13
product,13
scene,13
disruptive,13
positive,13
released,13
ask,13
reading,13
metric,13
cause,13
party,13
additional,13
strategic,13
auto,13
extra,13
represent,13
purpose,13
explore,13
head,13
playstyle,13
motion,13
biggest,13
allowed,13
overpowered,13
graph,13
treeline,13
nullarbor,13
mana,13
mech,13
interesting,12
building,12
following,12
senior,12
emote,12
name,12
exception,12
indicator,12
general,12
modern,12
list,12
pas,12
community,12
usually,12
talking,12
person,12
please,12
consistently,12
short,12
either,12
taking,12
soon,12
intent,12
population,12
popular,12
advantage,12
guy,12
basic,12
caitlyn,12
composition,12
improved,12
half,12
afk,12
recently,12
spent,12
god,12
creature,12
category,12
information,12
rune,12
frustrating,12
pool,12
skilled,12
essence,12
carnival,12
knight,12
lonewingy,12
healing,12
finish,12
climb,12
achievement,12
appear,12
require,12
ancient,12
ui,12
studio,12
light,11
juggernaut,11
access,11
weak,11
particular,11
original,11
mostly,11
leave,11
detection,11
punishment,11
regular,11
honor,11
although,11
care,11
fair,11
double,11
understanding,11
aram,11
aspect,11
pattern,11
realized,11
easier,11
iteration,11
enjoy,11
kept,11
answer,11
nothing,11
nearby,11
among,11
combination,11
heard,11
band,11
actual,11
jump,11
bringing,11
third,11
cef,11
chromium,11
article,11
friend,11
ready,11
variance,11
achieve,11
yuumi,11
percentage,11
regardless,11
beta,11
meddler,11
success,11
layer,11
spike,11
six,11
condition,11
force,11
movement,11
adapt,11
experienced,11
mage,11
autofilled,11
algorithm,11
script,11
cheating,11
silver,11
kilmourz,11
ranged,11
starter,11
joy,11
gave,10
shouldnt,10
deal,10
front,10
spot,10
reduce,10
follow,10
receive,10
potential,10
individual,10
talked,10
lack,10
word,10
expectation,10
focusing,10
meaningful,10
deliver,10
expected,10
significantly,10
bar,10
simply,10
increased,10
liked,10
resource,10
soft,10
face,10
anyone,10
remain,10
piano,10
lose,10
window,10
application,10
teemo,10
status,10
began,10
split,10
niche,10
pace,10
representation,10
determine,10
weapon,10
difference,10
blossom,10
successful,10
fast,10
round,10
novel,10
literally,10
scuttle,10
phase,10
unit,10
controlled,10
riotpastabomb,10
l,10
class,9
plus,9
low,9
f,9
specifically,9
wild,9
cover,9
built,9
veigar,9
magic,9
occasionally,9
factor,9
prioritize,9
r,9
removing,9
definitely,9
improving,9
stronger,9
hear,9
stay,9
planning,9
truly,9
integrity,9
ultimately,9
happening,9
roll,9
fill,9
expand,9
interest,9
antler,9
animate,9
genre,9
aoe,9
situation,9
incredibly,9
introduced,9
blue,9
priority,9
notice,9
easily,9
precision,9
stuck,9
capture,9
slower,9
slow,9
web,9
mb,9
lockout,9
begin,9
yes,9
crazy,9
paint,9
monster,9
engagement,9
releasing,9
putting,9
draw,9
attention,9
highlight,9
theyll,9
circle,9
water,9
onto,9
rough,9
tech,9
eight,9
return,9
ideal,9
wider,9
