word,LoRDevAmount
card,280
player,215
game,191
lor,177
new,144
champion,132
deck,130
time,99
play,77
region,73
runeterra,66
patch,66
tournament,65
legend,64
xp,64
youll,63
expedition,62
level,60
reward,59
win,59
progression,57
expansion,56
next,54
riot,52
change,52
preview,51
experience,50
wildcard,48
thing,47
league,46
right,45
open,44
need,44
design,44
beta,43
support,43
different,43
feel,43
day,42
take,42
vault,42
youre,42
look,41
team,41
work,40
really,40
every,40
launch,39
think,39
coin,39
mode,39
round,39
early,38
two,38
playing,37
start,37
keep,36
update,35
made,35
strategy,34
let,34
shard,34
back,34
account,33
something,33
year,33
go,33
chance,31
call,31
know,30
come,30
longdividerpng,30
mechanic,30
release,29
meta,29
might,29
many,29
gameplay,29
mountain,29
excited,28
end,28
good,27
goal,27
ranked,27
random,27
making,26
big,26
youve,26
system,26
share,26
seasonal,26
lab,26
world,25
build,25
access,25
last,25
use,25
able,25
champ,25
three,24
add,24
week,23
chest,23
say,23
content,23
create,23
match,23
power,23
targon,23
try,22
better,22
loss,22
pvp,22
what,22
full,21
randomness,21
bunch,21
future,21
always,21
forward,21
challenge,21
point,21
journey,21
spell,21
path,21
live,20
best,20
balance,20
give,20
competitive,20
feedback,20
provide,20
without,20
continue,20
unconkable,20
existing,19
great,19
detail,19
pick,19
together,19
overall,19
exciting,19
pc,18
hope,18
love,18
store,18
spend,18
hit,18
opponent,18
sure,18
part,18
community,18
earn,17
coming,17
looking,17
unlock,17
using,17
version,17
article,17
le,17
example,17
experiment,17
problem,17
ability,17
draft,17
season,17
bring,17
teemo,17
skill,16
sometime,16
far,16
getting,16
find,16
option,16
idea,16
run,16
place,16
fun,16
didnt,16
moment,16
ton,16
already,16
based,16
mean,16
knew,16
opportunity,15
mobile,15
long,15
number,15
feature,15
development,15
believe,15
core,15
bonus,15
reset,15
least,15
high,15
doesnt,15
second,15
everyone,15
added,15
bit,15
capsule,15
value,15
improve,15
top,15
pve,15
collection,14
additional,14
got,14
experimentation,14
started,14
certain,14
pack,14
board,14
ensure,14
friend,14
competition,14
focus,14
help,14
im,14
seen,14
toward,14
cool,14
clear,14
needed,14
check,14
unit,14
variance,14
celestial,14
gauntlet,14
exactly,13
lol,13
working,13
wed,13
hard,13
pretty,13
cant,13
stuff,13
quest,13
whole,13
never,13
shadow,13
unique,13
plan,13
isnt,13
money,13
trying,13
reach,13
fit,13
everything,13
rate,13
played,13
lead,13
token,13
came,13
price,13
uncertainty,13
control,12
pt,12
doe,12
though,12
wait,12
adding,12
purchase,12
limited,12
multiple,12
include,12
story,12
building,12
process,12
art,12
main,12
wild,12
name,12
fast,12
either,12
finally,12
said,12
talk,12
later,12
theyre,12
mana,12
trial,12
variety,12
note,12
cost,12
saw,12
rule,12
elise,12
melell,12
available,11
order,11
soon,11
exact,11
currently,11
wont,11
currency,11
complete,11
upgrade,11
actually,11
anyone,11
reason,11
used,11
social,11
important,11
final,11
along,11
agency,11
given,11
potential,11
evolve,11
epic,11
compete,11
especially,11
changed,11
powerful,11
mushroom,11
free,10
closed,10
including,10
info,10
entire,10
hear,10
type,10
stock,10
instead,10
base,10
question,10
quickly,10
expect,10
major,10
happen,10
ever,10
effect,10
head,10
minute,10
common,10
little,10
someone,10
unlimited,10
thought,10
weekly,10
explore,10
hand,10
across,10
thank,10
animation,10
economy,10
relatively,10
released,10
ezreal,10
healthy,10
tool,10
isle,10
designer,10
possible,10
dovagedys,10
become,10
darius,10
damage,10
katarina,10
wasnt,10
single,10
invoke,10
playoff,10
character,9
november,9
twitch,9
receive,9
guardian,9
within,9
genre,9
stay,9
home,9
line,9
current,9
however,9
giving,9
deckbuilding,9
turn,9
night,9
felt,9
beginning,9
offer,9
progress,9
daily,9
whether,9
matter,9
action,9
awesome,9
higher,9
result,9
learned,9
combination,9
adapt,9
accessible,9
focused,9
improvement,9
mentioned,9
draven,9
enjoy,9
pillar,9
youd,9
dragon,9
exploring,9
tell,9
karma,9
lux,9
theme,9
event,9
other,9
success,8
watch,8
improving,8
show,8
beyond,8
totally,8
choice,8
whenever,8
increase,8
guaranteed,8
specific,8
dive,8
discover,8
completely,8
ready,8
dedicated,8
built,8
model,8
purchased,8
earlier,8
committed,8
kind,8
seeing,8
initial,8
period,8
huge,8
evolving,8
greater,8
longer,8
expand,8
directly,8
hour,8
slow,8
enough,8
mind,8
quite,8
away,8
found,8
range,8
archetype,8
starting,8
throughout,8
structure,8
local,8
usd,8
expensive,8
individual,8
v,8
due,8
month,8
area,8
decided,8
figure,8
bilgewater,8
rising,8
tide,8
space,8
feeling,8
thematic,8
skin,8
hecarim,8
went,8
identity,8
cosmic,8
nightfall,8
aurelion,8
sol,8
qualify,8
explain,8
strategic,7
poro,7
fully,7
seven,7
spent,7
form,7
standard,7
choose,7
require,7
outcome,7
perfect,7
real,7
discovery,7
case,7
sense,7
nothing,7
element,7
amount,7
invest,7
solution,7
gain,7
easy,7
previous,7
rather,7
state,7
ultimately,7
arent,7
moving,7
grant,7
ai,7
general,7
format,7
put,7
fresh,7
information,7
key,7
initially,7
country,7
updated,7
timer,7
bad,7
shen,7
mark,7
planning,7
meant,7
behind,7
became,7
bigger,7
introduce,7
rain,7
enemy,7
dev,7
iteration,7
people,7
thematically,7
fiora,7
trundle,7
waitlist,7
glory,7
prize,7
queue,7
favorite,6
preregister,6
october,6
pm,6
basically,6
keeping,6
required,6
cosmetic,6
ionia,6
freljord,6
explored,6
entirely,6
couple,6
front,6
life,6
allow,6
summoner,6
officially,6
designing,6
draw,6
total,6
care,6
likely,6
luck,6
cash,6
competing,6
investing,6
crazy,6
fact,6
cap,6
itll,6
victory,6
original,6
tier,6
copy,6
per,6
strong,6
left,6
winning,6
else,6
interaction,6
rest,6
similar,6
eg,6
metric,6
follower,6
deal,6
half,6
simple,6
difficult,6
narrative,6
laugh,6
effort,6
heimerdinger,6
playtest,6
engineering,6
shroom,6
shape,6
prime,6
participate,6
championship,6
udyr,6
determine,5
face,5
combat,5
buy,5
video,5
playable,5
channel,5
preregistered,5
exclusive,5
spending,5
asked,5
twist,5
bringing,5
depth,5
frequent,5
ingame,5
advance,5
dream,5
encounter,5
rift,5
answer,5
unlocked,5
method,5
deep,5
six,5
noxus,5
four,5
probably,5
sharing,5
list,5
several,5
active,5
bug,5
particularly,5
critical,5
testing,5
quality,5
interesting,5
data,5
necessary,5
client,5
easily,5
created,5
measure,5
almost,5
often,5
decision,5
wouldnt,5
master,5
deckbuilder,5
eye,5
experimental,5
short,5
hold,5
designed,5
done,5
piece,5
response,5
extra,5
received,5
worked,5
immediately,5
pro,5
factor,5
purchasing,5
tweak,5
battle,5
unlike,5
course,5
begin,5
roster,5
death,5
essentially,5
simply,5
updating,5
took,5
january,5
visual,5
icon,5
adjustment,5
polish,5
depending,5
lower,5
various,5
contain,5
generally,5
burst,5
positive,5
clarity,5
particular,5
room,5
aspect,5
address,5
achieve,5
outside,5
barrier,5
director,5
boost,5
obvious,5
exist,5
situation,5
attack,5
ask,5
spider,5
gave,5
spot,5
buff,5
turret,5
demacia,5
expectation,5
stage,5
seed,5
connection,5
phase,5
competitor,5
april,5
duo,5
curious,5
vgu,5
creativity,4
crossplatform,4
special,4
instant,4
via,4
email,4
panel,4
date,4
language,4
variant,4
deciding,4
differently,4
endless,4
pay,4
unlocking,4
automatically,4
decide,4
waiting,4
drop,4
earned,4
tuned,4
discovering,4
accomplish,4
