word,ValoGunsAmount
skin,88
weapon,65
dragon,52
valorant,45
team,36
gun,35
player,35
rank,31
concept,29
competitive,26
design,25
game,24
artist,23
feel,22
gameplay,19
animation,19
sound,19
idea,18
fantasy,18
made,17
material,17
something,16
audio,16
match,16
felt,15
effect,15
take,15
within,14
visual,14
didnt,14
far,13
model,13
new,13
art,12
help,12
create,12
fire,12
really,12
vandal,12
work,12
line,12
reload,12
mode,12
making,11
base,11
melee,11
cyberpunk,11
lead,10
give,10
attachment,10
right,10
always,10
marino,9
every,9
know,9
creating,9
never,9
element,9
sean,8
magazine,8
example,8
ready,8
tech,8
time,8
fun,8
logo,8
life,7
start,7
early,7
world,7
ultimately,7
tell,7
vfx,7
based,7
inspiration,7
many,7
system,7
better,7
part,7
keep,7
together,7
love,7
experience,7
custom,7
theme,7
actually,7
final,7
youre,7
light,7
worked,7
senior,7
skill,7
elderflame,7
judge,7
shooter,6
use,6
look,6
muzzle,6
flash,6
sure,6
shape,6
direction,6
mcsheehan,6
toward,6
ad,6
bring,6
wed,6
focus,6
add,6
fresh,6
push,6
feedback,6
think,6
doesnt,6
closed,6
sentinel,6
black,6
mist,6
working,6
thought,6
partner,6
level,6
brand,6
needed,6
back,6
sticker,6
playful,6
frenzy,6
im,5
favorite,5
designer,5
pillar,5
came,5
genre,5
approach,5
best,5
different,5
last,5
term,5
able,5
real,5
fit,5
feature,5
perspective,5
unique,5
recognizable,5
helped,5
beat,5
equip,5
isaac,5
firing,5
capture,5
used,5
silencer,5
found,5
thing,5
clear,5
big,5
holographic,5
enough,5
integrity,5
run,5
goal,5
without,5
several,5
rule,5
great,5
looking,5
say,5
question,5
fight,5
hit,5
mean,5
le,5
clean,5
go,5
behind,5
playtest,5
map,5
beta,5
special,5
stone,5
league,5
ruination,5
opportunity,5
knew,5
texture,5
thematic,5
ktac,5
name,5
matchmaking,5
ensure,5
glitchpop,5
tone,5
corporate,5
hand,5
operator,5
let,4
trevor,4
bullet,4
onto,4
certain,4
build,4
yes,4
account,4
meant,4
decision,4
v,4
key,4
simply,4
detail,4
trying,4
realized,4
led,4
two,4
stefan,4
include,4
whether,4
side,4
away,4
interesting,4
round,4
testing,4
allow,4
smoke,4
large,4
point,4
solve,4
preeti,4
premium,4
content,4
today,4
fully,4
seen,4
rest,4
alternate,4
maybe,4
vision,4
guide,4
universe,4
futuristic,4
feeling,4
youll,4
little,4
important,4
version,4
test,4
extra,4
hope,4
sal,4
develop,4
challenge,4
fx,4
relic,4
powerful,4
added,4
outsource,4
external,4
established,4
unrated,4
party,4
day,4
playing,4
size,4
glitch,4
projector,4
color,4
development,4
badass,4
beast,4
cute,4
denis,4
baby,4
other,4
hey,3
brought,3
situation,3
arsenal,3
power,3
imagined,3
ask,3
core,3
etc,3
similar,3
reflect,3
picture,3
cohesive,3
show,3
process,3
began,3
firstperson,3
thirdperson,3
step,3
differentiation,3
change,3
using,3
strike,3
stage,3
scope,3
changed,3
result,3
decided,3
benefit,3
directly,3
case,3
hear,3
phantom,3
friend,3
trust,3
find,3
screen,3
type,3
technology,3
sort,3
cosmetic,3
created,3
kind,3
high,3
aesthetic,3
piece,3
thinking,3
moment,3
rock,3
tie,3
reference,3
faster,3
okay,3
bit,3
win,3
style,3
awesome,3
entire,3
critical,3
cue,3
everything,3
character,3
dpt,3
classic,3
come,3
loved,3
ingame,3
share,3
crystal,3
performance,3
excited,3
end,3
built,3
top,3
overall,3
prototype,3
sol,3
manager,3
try,3
deliver,3
normal,3
pulled,3
finally,3
additional,3
future,3
evolve,3
tier,3
queue,3
must,3
launch,3
enter,3
impact,3
bigham,3
colorful,3
punk,3
dystopian,3
happy,3
lethal,3
copper,3
bunch,3
though,3
standpoint,3
ended,3
living,3
breathing,3
creature,3
asked,3
given,3
anatomy,3
shipped,3
pushed,3
talk,2
specifically,2
principle,2
romleski,2
latched,2
define,2
foundation,2
flesh,2
tactical,2
expectation,2
regardless,2
ip,2
cemented,2
functionality,2
four,2
inspired,2
gameplaywise,2
pew,2
taken,2
balance,2
damage,2
need,2
movement,2
mixed,2
language,2
silhouette,2
smaller,2
slightly,2
animator,2
state,2
jevremovic,2
director,2
kikawa,2
riot,2
surface,2
footstep,2
shell,2
dropping,2
consistent,2
designed,2
member,2
might,2
ghost,2
speaking,2
unless,2
instead,2
buy,2
contention,2
aiming,2
sight,2
modern,2
common,2
traditional,2
dedicated,2
hip,2
either,2
done,2
adding,2
red,2
dot,2
covered,2
born,2
quite,2
khanolkar,2
producer,2
spray,2
sleek,2
scifi,2
energy,2
personalized,2
track,2
paytowin,2
break,2
stop,2
execute,2
amazing,2
ton,2
lab,2
lean,2
abstract,2
random,2
already,2
passionate,2
note,2
wild,2
earliest,2
brainstorming,2
desired,2
answering,2
mood,2
oh,2
alien,2
answer,2
modeling,2
constraint,2
ground,2
slower,2
space,2
extremely,2
explicit,2
defuse,2
spike,2
except,2
distracting,2
scale,2
stay,2
pop,2
mess,2
paired,2
loaded,2
otherwise,2
however,2
volume,2
doe,2
site,2
reaver,2
worry,2
experiment,2
commitment,2
helpful,2
received,2
cool,2
pretty,2
learn,2
meantime,2
garozzo,2
everyone,2
chris,2
legend,2
summer,2
bringing,2
although,2
taking,2
preserving,2
tight,2
inside,2
unreal,2
engine,2
graph,2
someone,2
finished,2
prototyping,2
called,2
intensity,2
quickly,2
hold,2
running,2
managed,2
turn,2
lore,2
ability,2
spot,2
view,2
flow,2
branding,2
scene,2
carry,2
explained,2
available,2
plan,2
throughout,2
pain,2
personal,2
recognize,2
reduce,2
teammate,2
isnt,2
displayed,2
played,2
decay,2
option,2
completed,2
sweat,2
eight,2
highest,2
winning,2
factor,2
compared,2
measure,2
play,2
earned,2
